cpu_assignment,ratelimit(us),max_latency(ns),max_latency(us)
one_to_one,5000,69490,69
one_to_one,5000,71660,72
one_to_one,5000,70030,70
one_to_one,5000,66580,67
one_to_one,5000,70800,71
one_to_one,5000,69710,70
many_to_many,100,125630,126
many_to_many,100,135700,136
many_to_many,100,407630,408
many_to_many,100,100530,101
many_to_many,100,157500,158
many_to_many,100,110310,110
many_to_many,100,267000,267
many_to_many,100,96150,96
many_to_many,100,118230,118
many_to_many,100,100750,101
many_to_many,100,297800,298
many_to_many,100,98360,98
many_to_many,100,124540,125
many_to_many,100,107640,108
many_to_many,100,121230,121
many_to_many,100,126080,126
many_to_many,100,254930,255
many_to_many,100,145640,146
many_to_many,100,100270,100
many_to_many,100,93360,93
many_to_many,100,98210,98
many_to_many,100,220160,220
many_to_many,100,321980,322
many_to_many,100,187590,188
many_to_many,100,117500,118
many_to_many,100,223590,224
many_to_many,100,117620,118
many_to_many,100,111370,111
many_to_many,100,156890,157
many_to_many,100,135030,135
many_to_many,500,114070,114
many_to_many,500,144720,145
many_to_many,500,126160,126
many_to_many,500,262970,263
many_to_many,500,103350,103
many_to_many,500,118640,119
many_to_many,500,200210,200
many_to_many,500,251370,251
many_to_many,500,145190,145
many_to_many,500,286570,287
many_to_many,500,132400,132
many_to_many,500,335230,335
many_to_many,500,112250,112
many_to_many,500,223880,224
many_to_many,500,295360,295
many_to_many,500,269850,270
many_to_many,500,121970,122
many_to_many,500,101570,102
many_to_many,500,246370,246
many_to_many,500,183200,183
many_to_many,500,233280,233
many_to_many,500,370950,371
many_to_many,500,286410,286
many_to_many,500,211520,212
many_to_many,500,293660,294
many_to_many,500,207500,208
many_to_many,500,107050,107
many_to_many,500,120880,121
many_to_many,500,140660,141
many_to_many,500,109840,110
many_to_many,1000,118970,119
many_to_many,1000,117210,117
many_to_many,1000,325760,326
many_to_many,1000,127720,128
many_to_many,1000,309220,309
many_to_many,1000,264800,265
many_to_many,1000,101030,101
many_to_many,1000,106920,107
many_to_many,1000,586250,586
many_to_many,1000,101620,102
many_to_many,1000,118540,119
many_to_many,1000,106490,106
many_to_many,1000,286090,286
many_to_many,1000,221830,222
many_to_many,1000,134210,134
many_to_many,1000,143580,144
many_to_many,1000,242450,242
many_to_many,1000,115180,115
many_to_many,1000,102930,103
many_to_many,1000,93040,93
many_to_many,1000,98410,98
many_to_many,1000,171990,172
many_to_many,1000,103290,103
many_to_many,1000,169110,169
many_to_many,1000,280380,280
many_to_many,1000,427100,427
many_to_many,1000,371980,372
many_to_many,1000,118210,118
many_to_many,1000,120390,120
many_to_many,1000,93230,93
many_to_many,5000,61890,62
many_to_many,5000,65640,66
many_to_many,5000,110450,110
many_to_many,5000,228090,228
many_to_many,5000,66070,66
many_to_many,5000,64710,65
many_to_many,5000,66910,67
many_to_many,5000,62530,63
many_to_many,5000,62270,62
many_to_many,5000,64310,64
many_to_many,5000,92190,92
many_to_many,5000,54890,55
many_to_many,5000,42930,43
many_to_many,5000,118820,119
many_to_many,5000,87570,88
many_to_many,5000,96140,96
many_to_many,5000,93030,93
many_to_many,5000,124080,124
many_to_many,5000,106780,107
many_to_many,5000,58440,58
many_to_many,5000,102630,103
many_to_many,5000,120480,120
many_to_many,5000,118240,118
many_to_many,5000,140910,141
many_to_many,5000,236030,236
many_to_many,5000,397880,398
many_to_many,5000,111040,111
many_to_many,5000,122410,122
many_to_many,5000,120210,120
many_to_many,5000,63860,64
one_to_one,100,41910,42
one_to_one,100,41380,41
one_to_one,100,42230,42
one_to_one,100,41500,42
one_to_one,100,43300,43
one_to_one,100,40410,40
one_to_one,100,40430,40
one_to_one,100,40470,40
one_to_one,100,43030,43
one_to_one,100,41220,41
one_to_one,100,40730,41
one_to_one,100,41600,42
one_to_one,100,40520,41
one_to_one,100,41150,41
one_to_one,100,42720,43
one_to_one,100,41650,42
one_to_one,100,41110,41
one_to_one,100,40720,41
one_to_one,100,54050,54
one_to_one,100,42350,42
one_to_one,100,42790,43
one_to_one,100,41700,42
one_to_one,100,40820,41
one_to_one,100,40160,40
one_to_one,100,40970,41
one_to_one,100,41080,41
one_to_one,100,42860,43
one_to_one,100,41730,42
one_to_one,100,40550,41
one_to_one,100,40370,40
one_to_one,500,42560,43
one_to_one,500,41980,42
one_to_one,500,41700,42
one_to_one,500,42860,43
one_to_one,500,42020,42
one_to_one,500,40900,41
one_to_one,500,40950,41
one_to_one,500,55220,55
one_to_one,500,43390,43
one_to_one,500,39860,40
one_to_one,500,56090,56
one_to_one,500,43540,44
one_to_one,500,41570,42
one_to_one,500,50340,50
one_to_one,500,40360,40
one_to_one,500,40360,40
one_to_one,500,41500,42
one_to_one,500,42030,42
one_to_one,500,41450,41
one_to_one,500,44040,44
one_to_one,500,42110,42
one_to_one,500,41260,41
one_to_one,500,41420,41
one_to_one,500,41890,42
one_to_one,500,40880,41
one_to_one,500,42590,43
one_to_one,500,40670,41
one_to_one,500,40770,41
one_to_one,500,40810,41
one_to_one,500,57300,57
one_to_one,1000,42480,42
one_to_one,1000,40880,41
one_to_one,1000,42440,42
one_to_one,1000,40170,40
one_to_one,1000,56050,56
one_to_one,1000,40910,41
one_to_one,1000,41300,41
one_to_one,1000,42530,43
one_to_one,1000,40410,40
one_to_one,1000,42280,42
one_to_one,1000,41220,41
one_to_one,1000,43190,43
one_to_one,1000,43310,43
one_to_one,1000,43160,43
one_to_one,1000,41660,42
one_to_one,1000,40400,40
one_to_one,1000,41470,41
one_to_one,1000,42850,43
one_to_one,1000,40280,40
one_to_one,1000,42060,42
one_to_one,1000,41490,41
one_to_one,1000,44520,45
one_to_one,1000,40190,40
one_to_one,1000,44080,44
one_to_one,1000,41200,41
