disturb,max_latency(ns),max_latency(us),Residuo max_latency(us)
nodisturb,41030,41,"-1,576333333"
nodisturb,40990,41,"-1,616333333"
nodisturb,40960,41,"-1,646333333"
nodisturb,40510,41,"-2,096333333"
net_disturb,56440,56,"0,362"
net_disturb,53690,54,"-2,388"
net_disturb,55710,56,"-0,368"
net_disturb,57000,57,"0,922"
net_disturb,56650,57,"0,572"
net_disturb,53950,54,"-2,128"
net_disturb,53270,53,"-2,808"
net_disturb,56890,57,"0,812"
net_disturb,57590,58,"1,512"
net_disturb,57790,58,"1,712"
net_disturb,56050,56,"-0,028"
net_disturb,54340,54,"-1,738"
net_disturb,56630,57,"0,552"
net_disturb,56240,56,"0,162"
net_disturb,54330,54,"-1,748"
net_disturb,57170,57,"1,092"
net_disturb,55130,55,"-0,948"
net_disturb,56240,56,"0,162"
net_disturb,53490,53,"-2,588"
net_disturb,73840,74,"17,762"
net_disturb,54160,54,"-1,918"
net_disturb,52370,52,"-3,708"
net_disturb,56840,57,"0,762"
net_disturb,55900,56,"-0,178"
net_disturb,54340,54,"-1,738"
net_disturb,56570,57,"0,492"
net_disturb,56230,56,"0,152"
net_disturb,53500,54,"-2,578"
net_disturb,53700,54,"-2,378"
net_disturb,56290,56,"0,212"
io_disturb,109770,110,"-1,896896552"
io_disturb,118740,119,"7,0731034483"
io_disturb,114030,114,"2,3631034483"
io_disturb,115630,116,"3,9631034483"
io_disturb,106190,106,"-5,476896552"
io_disturb,130330,130,"18,663103448"
io_disturb,123780,124,"12,113103448"
io_disturb,111170,111,"-0,496896552"
io_disturb,112600,113,"0,9331034483"
io_disturb,118150,118,"6,4831034483"
io_disturb,93140,93,"-18,52689655"
io_disturb,104850,105,"-6,816896552"
io_disturb,112780,113,"1,1131034483"
io_disturb,108350,108,"-3,316896552"
io_disturb,106860,107,"-4,806896552"
io_disturb,123270,123,"11,603103448"
io_disturb,118190,118,"6,5231034483"
io_disturb,109210,109,"-2,456896552"
io_disturb,113860,114,"2,1931034483"
io_disturb,101170,101,"-10,49689655"
io_disturb,97260,97,"-14,40689655"
io_disturb,109250,109,"-2,416896552"
io_disturb,127150,127,"15,483103448"
io_disturb,103350,103,"-8,316896552"
io_disturb,115380,115,"3,7131034483"
io_disturb,111460,111,"-0,206896552"
io_disturb,109330,109,"-2,336896552"
io_disturb,105700,106,"-5,966896552"
io_disturb,107390,107,"-4,276896552"
interrupt_disturb,144500,145,"28,923"
interrupt_disturb,120050,120,"4,473"
interrupt_disturb,110100,110,"-5,477"
interrupt_disturb,113370,113,"-2,207"
interrupt_disturb,107180,107,"-8,397"
interrupt_disturb,100700,101,"-14,877"
interrupt_disturb,114160,114,"-1,417"
interrupt_disturb,108580,109,"-6,997"
interrupt_disturb,114400,114,"-1,177"
interrupt_disturb,120160,120,"4,583"
interrupt_disturb,117550,118,"1,973"
interrupt_disturb,119530,120,"3,953"
interrupt_disturb,141410,141,"25,833"
interrupt_disturb,111430,111,"-4,147"
interrupt_disturb,110310,110,"-5,267"
interrupt_disturb,110190,110,"-5,387"
interrupt_disturb,111850,112,"-3,727"
interrupt_disturb,107250,107,"-8,327"
interrupt_disturb,141750,142,"26,173"
interrupt_disturb,108030,108,"-7,547"
interrupt_disturb,113640,114,"-1,937"
interrupt_disturb,108230,108,"-7,347"
interrupt_disturb,113400,113,"-2,177"
interrupt_disturb,110500,111,"-5,077"
interrupt_disturb,116260,116,"0,683"
interrupt_disturb,111900,112,"-3,677"
interrupt_disturb,119170,119,"3,593"
interrupt_disturb,122160,122,"6,583"
interrupt_disturb,110340,110,"-5,237"
interrupt_disturb,109210,109,"-6,367"
device_disturb,76230,76,"-1,9"
device_disturb,74190,74,"-3,94"
device_disturb,76750,77,"-1,38"
device_disturb,76030,76,"-2,1"
device_disturb,77090,77,"-1,04"
device_disturb,96590,97,"18,46"
device_disturb,77550,78,"-0,58"
device_disturb,76800,77,"-1,33"
device_disturb,75100,75,"-3,03"
device_disturb,75890,76,"-2,24"
device_disturb,75950,76,"-2,18"
device_disturb,76380,76,"-1,75"
device_disturb,83210,83,"5,08"
device_disturb,78050,78,"-0,08"
device_disturb,79580,80,"1,45"
device_disturb,76550,77,"-1,58"
device_disturb,75430,75,"-2,7"
device_disturb,75620,76,"-2,51"
device_disturb,76230,76,"-1,9"
device_disturb,76540,77,"-1,59"
device_disturb,76830,77,"-1,3"
device_disturb,75810,76,"-2,32"
device_disturb,77360,77,"-0,77"
device_disturb,73330,73,"-4,8"
device_disturb,76070,76,"-2,06"
device_disturb,76340,76,"-1,79"
device_disturb,76660,77,"-1,47"
device_disturb,106220,106,"28,09"
device_disturb,77010,77,"-1,12"
device_disturb,72510,73,"-5,62"
cache_disturb,101480,101,"-3,078333333"
cache_disturb,126820,127,"22,261666667"
cache_disturb,97460,97,"-7,098333333"
cache_disturb,96670,97,"-7,888333333"
cache_disturb,101560,102,"-2,998333333"
cache_disturb,98710,99,"-5,848333333"
cache_disturb,100080,100,"-4,478333333"
cache_disturb,103800,104,"-0,758333333"
cache_disturb,96840,97,"-7,718333333"
cache_disturb,98210,98,"-6,348333333"
cache_disturb,95230,95,"-9,328333333"
cache_disturb,102390,102,"-2,168333333"
cache_disturb,103450,103,"-1,108333333"
cache_disturb,98420,98,"-6,138333333"
cache_disturb,124650,125,"20,091666667"
cache_disturb,103760,104,"-0,798333333"
cache_disturb,124810,125,"20,251666667"
cache_disturb,95790,96,"-8,768333333"
cache_disturb,125450,125,"20,891666667"
cache_disturb,125940,126,"21,381666667"
cache_disturb,102510,103,"-2,048333333"
cache_disturb,98410,98,"-6,148333333"
cache_disturb,101580,102,"-2,978333333"
cache_disturb,103090,103,"-1,468333333"
cache_disturb,104120,104,"-0,438333333"
cache_disturb,97510,98,"-7,048333333"
cache_disturb,101740,102,"-2,818333333"
cache_disturb,103660,104,"-0,898333333"
cache_disturb,99970,100,"-4,588333333"
cache_disturb,102640,103,"-1,918333333"
filesystem_disturb,90060,90,"-2,742333333"
filesystem_disturb,96280,96,"3,4776666667"
filesystem_disturb,87590,88,"-5,212333333"
filesystem_disturb,120300,120,"27,497666667"
filesystem_disturb,90290,90,"-2,512333333"
filesystem_disturb,113150,113,"20,347666667"
filesystem_disturb,92410,92,"-0,392333333"
filesystem_disturb,89220,89,"-3,582333333"
filesystem_disturb,90030,90,"-2,772333333"
filesystem_disturb,90020,90,"-2,782333333"
filesystem_disturb,89610,90,"-3,192333333"
filesystem_disturb,87920,88,"-4,882333333"
filesystem_disturb,90210,90,"-2,592333333"
filesystem_disturb,89910,90,"-2,892333333"
filesystem_disturb,89940,90,"-2,862333333"
filesystem_disturb,91550,92,"-1,252333333"
filesystem_disturb,90310,90,"-2,492333333"
filesystem_disturb,90540,91,"-2,262333333"
filesystem_disturb,90960,91,"-1,842333333"
filesystem_disturb,91660,92,"-1,142333333"
filesystem_disturb,118710,119,"25,907666667"
filesystem_disturb,87200,87,"-5,602333333"
filesystem_disturb,91820,92,"-0,982333333"
filesystem_disturb,86280,86,"-6,522333333"
filesystem_disturb,90720,91,"-2,082333333"
filesystem_disturb,91710,92,"-1,092333333"
filesystem_disturb,89590,90,"-3,212333333"
filesystem_disturb,89160,89,"-3,642333333"
filesystem_disturb,86570,87,"-6,232333333"
filesystem_disturb,90350,90,"-2,452333333"
